clean_file,title,provider,source,spec_version,n_operations,n_body_eligible,n_description,n_summary,n_operation_id,n_parameters,n_request_schema,n_request_schema_body_eligible,n_response_schema,n_any_schema,rate_description,rate_summary,rate_operation_id,rate_parameters,rate_request_schema_all_ops,rate_request_schema_body_eligible,rate_response_schema,rate_any_schema
S1__6-dot-authentiqio.appspot.com-6-swagger.yaml,Authentiq,6-dot-authentiqio.appspot.com,S1,3.x,12,7,12,0,11,11,5,5,12,12,1.000000,0.000000,0.916667,0.916667,0.416667,0.714286,1.000000,1.000000
S1__ably.io-1.1.0-openapi.yaml,Ably,ably.io,S1,3.x,22,7,22,22,22,22,7,7,22,22,1.000000,1.000000,1.000000,1.000000,0.318182,1.000000,1.000000,1.000000
S1__adafruit.com-2.0.0-swagger.yaml,Adafruit IO,adafruit.com,S1,3.x,71,33,21,71,71,68,30,30,69,69,0.295775,1.000000,1.000000,0.957746,0.422535,0.909091,0.971831,0.971831
S1__adobe.com-aem-2.5.0-pre-swagger.yaml,Adobe Experience Manager (AEM),adobe.com,S1,3.x,44,26,0,0,44,36,5,5,24,25,0.000000,0.000000,1.000000,0.818182,0.113636,0.192308,0.545455,0.568182
S1__adyen.com-AccountService-5-openapi.yaml,Adyen MarketPay Account Service,adyen.com,S1,3.x,16,16,16,16,0,0,16,16,16,16,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
S1__adyen.com-CheckoutService-46-openapi.yaml,Adyen Checkout Service,adyen.com,S1,3.x,5,5,5,5,0,0,5,5,5,5,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
S1__adyen.com-FundService-5-openapi.yaml,Adyen MarketPay Fund Service,adyen.com,S1,3.x,6,6,6,6,0,0,6,6,6,6,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
S1__adyen.com-MarketPayNotificationService-5-openapi.yaml,Adyen Notification Service,adyen.com,S1,3.x,14,14,14,14,0,0,14,14,14,14,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
S1__adyen.com-NotificationConfigurationService-1-openapi.yaml,Adyen MarketPay Notification Configuration Service,adyen.com,S1,3.x,6,6,6,6,0,0,6,6,6,6,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
S1__adyen.com-PaymentService-46-openapi.yaml,Adyen Payment Service,adyen.com,S1,3.x,11,11,11,11,0,0,11,11,11,11,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000
