field,denominator,version,source,micro_n_with,micro_n_denom,micro_pct,macro_mean_pct,macro_n_services,macro_n_services_excluded
description,all_ops,all,all,71493,97912,73.018,83.700,2206,0
summary,all_ops,all,all,55475,97912,56.658,45.283,2206,0
operationId,all_ops,all,all,86586,97912,88.432,85.404,2206,0
parameters,all_ops,all,all,89184,97912,91.086,89.282,2206,0
request_schema,all_ops,all,all,36070,97912,36.839,38.074,2206,0
request_schema,body_eligible,all,all,35371,40686,86.937,86.348,1844,362
response_schema,all_ops,all,all,87897,97912,89.771,89.162,2206,0
any_schema,all_ops,all,all,90078,97912,91.999,91.112,2206,0
description,all_ops,all,S1,28644,34705,82.536,84.533,1014,0
summary,all_ops,all,S1,14315,34705,41.248,39.465,1014,0
operationId,all_ops,all,S1,29805,34705,85.881,85.901,1014,0
parameters,all_ops,all,S1,32249,34705,92.923,92.710,1014,0
request_schema,all_ops,all,S1,12916,34705,37.217,36.580,1014,0
request_schema,body_eligible,all,S1,12682,14848,85.412,84.793,848,166
response_schema,all_ops,all,S1,30145,34705,86.861,88.268,1014,0
any_schema,all_ops,all,S1,31033,34705,89.419,89.920,1014,0
description,all_ops,all,S2,42849,63207,67.792,82.992,1192,0
summary,all_ops,all,S2,41160,63207,65.119,50.233,1192,0
operationId,all_ops,all,S2,56781,63207,89.833,84.982,1192,0
parameters,all_ops,all,S2,56935,63207,90.077,86.366,1192,0
request_schema,all_ops,all,S2,23154,63207,36.632,39.346,1192,0
request_schema,body_eligible,all,S2,22689,25838,87.813,87.672,996,196
response_schema,all_ops,all,S2,57752,63207,91.370,89.922,1192,0
any_schema,all_ops,all,S2,59045,63207,93.415,92.126,1192,0
description,all_ops,2.0,all,2463,6428,38.317,75.691,144,0
summary,all_ops,2.0,all,2464,6428,38.332,66.521,144,0
operationId,all_ops,2.0,all,5344,6428,83.136,61.544,144,0
parameters,all_ops,2.0,all,6197,6428,96.406,92.465,144,0
request_schema,all_ops,2.0,all,1696,6428,26.385,19.972,144,0
request_schema,body_eligible,2.0,all,1662,2035,81.671,64.398,97,47
response_schema,all_ops,2.0,all,5743,6428,89.343,81.547,144,0
any_schema,all_ops,2.0,all,5872,6428,91.350,84.404,144,0
description,all_ops,2.0,S2,2463,6428,38.317,75.691,144,0
summary,all_ops,2.0,S2,2464,6428,38.332,66.521,144,0
operationId,all_ops,2.0,S2,5344,6428,83.136,61.544,144,0
parameters,all_ops,2.0,S2,6197,6428,96.406,92.465,144,0
request_schema,all_ops,2.0,S2,1696,6428,26.385,19.972,144,0
request_schema,body_eligible,2.0,S2,1662,2035,81.671,64.398,97,47
response_schema,all_ops,2.0,S2,5743,6428,89.343,81.547,144,0
any_schema,all_ops,2.0,S2,5872,6428,91.350,84.404,144,0
description,all_ops,3.x,all,69030,91484,75.456,84.259,2062,0
summary,all_ops,3.x,all,53011,91484,57.946,43.800,2062,0
operationId,all_ops,3.x,all,81242,91484,88.805,87.071,2062,0
parameters,all_ops,3.x,all,82987,91484,90.712,89.059,2062,0
request_schema,all_ops,3.x,all,34374,91484,37.574,39.338,2062,0
request_schema,body_eligible,3.x,all,33709,38651,87.214,87.567,1747,315
response_schema,all_ops,3.x,all,82154,91484,89.801,89.694,2062,0
any_schema,all_ops,3.x,all,84206,91484,92.045,91.580,2062,0
description,all_ops,3.x,S1,28644,34705,82.536,84.533,1014,0
summary,all_ops,3.x,S1,14315,34705,41.248,39.465,1014,0
operationId,all_ops,3.x,S1,29805,34705,85.881,85.901,1014,0
parameters,all_ops,3.x,S1,32249,34705,92.923,92.710,1014,0
request_schema,all_ops,3.x,S1,12916,34705,37.217,36.580,1014,0
request_schema,body_eligible,3.x,S1,12682,14848,85.412,84.793,848,166
response_schema,all_ops,3.x,S1,30145,34705,86.861,88.268,1014,0
any_schema,all_ops,3.x,S1,31033,34705,89.419,89.920,1014,0
description,all_ops,3.x,S2,40386,56779,71.128,83.995,1048,0
summary,all_ops,3.x,S2,38696,56779,68.152,47.995,1048,0
operationId,all_ops,3.x,S2,51437,56779,90.592,88.202,1048,0
parameters,all_ops,3.x,S2,50738,56779,89.361,85.528,1048,0
request_schema,all_ops,3.x,S2,21458,56779,37.792,42.008,1048,0
request_schema,body_eligible,3.x,S2,21027,23803,88.338,90.183,899,149
response_schema,all_ops,3.x,S2,52009,56779,91.599,91.073,1048,0
any_schema,all_ops,3.x,S2,53173,56779,93.649,93.187,1048,0
