input,status,detail
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__adafruit.com__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__afterbanks.com__3.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__amadeus.com__amadeus-points-of-interest__1.1.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__amadeus.com__amadeus-safe-place-__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__amadeus.com__amadeus-tours-and-activities__1.0.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__appveyor.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__aucklandmuseum.com__2.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__autotask.net__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__avaza.com__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__appconfiguration__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__appplatform__2019-05-01-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__attestation__2018-09-01-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__azsadmin-FileContainer__2019-01-01__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__cognitiveservices-AnomalyDetector__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__customerlockbox__2018-02-28-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__digitaltwins__2020-03-01-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__frontdoor-networkexperiment__2019-11-01__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__hybridcompute-HybridCompute__2019-12-12__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__iotcentral__preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__marketplace-Marketplace__2020-01-01__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__migrate__2019-10-01__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__monitor-privateLinkScopes_API__2019-10-17-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__resources-deploymentScripts__2019-10-01-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__support__2019-05-01-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__azure.com__windowsesu__2019-09-16-preview__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__bridgedb.org__0.9.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__browshot.com__1.17.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__callcontrol.com__2015-11-01__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__channel4.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__cisco.com__0.0.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__clearblade.com__3.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__cloud-elements.com__ecwid__api-v2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__cycat.org__0.9__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__data2crm.com__1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__dataatwork.org__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__deutschebahn.com__fasta__2.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__ean-search.org__1.50.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__ebay.com__buy-browse__v1.1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__ebay.com__commerce-taxonomy__v1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__ebi.ac.uk__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__air__2019.10.15__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__case__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__cwa__2019.10.15__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__dfr__0.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__echo__2019.10.15__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__rcra__2019.10.15__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__epa.gov__sdw__2019.10.15__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__europeana.eu__version unknown__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__evemarketer.com__1.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__exhibitday.com__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__frankiefinancial.io__1.5.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__fungenerators.com__fake-identity__1.5__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__fungenerators.com__lottery__1.5__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__funtranslations.com__braile__2.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__funtranslations.com__index__2.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__funtranslations.com__starwars__2.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__getsandbox.com__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__greenpeace.org__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__handwrytten.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__hsbc.com__atm__2.2.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__hsbc.com__branches__2.2.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__hsbc.com__product__2.2.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__hubhopper.com__v5__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__infermedica.com__v2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__inpe.br__dados-abertos__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__instagram.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__intel.com__product-catalogue__0.1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__isbndb.com__1.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__jokes.one__1.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__languagetool.org__1.1.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__launchdarkly.com__5.3.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__link.fish__2018-07-05__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__linuxfoundation.org__reimbursement__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__lumminary.com__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mashape.com__geodb__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__CurrencyConversionCalculator__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__Locations__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__MATCH__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__MDES__2.0.7__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__PersonalizedLoyaltyOffers__1.3__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__SpendingPulse__1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__masterpassqr__V1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mastercard.com__open-banking-connect-pis__1.16.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__mon-voyage-pas-cher.com__0.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__musixmatch.com__1.1.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__n-auth.com__2.2__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__nativeads.com__1.0.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__naviplancentral.com__plan__v1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__nba.com__version__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__netlify.com__2.16.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__nrm.se__georg__2.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__o2.cz__sociodemo__1.2.0__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__openalpr.com__3.0.1__swagger.yaml","ok",""
"D:\RealProgrammer\Research\Microservices\ILSC\specs\clean\S2__opentrials.local__0.0.1__swagger.yaml","ok",""
