clean_file,spec_version,n_ops_original,n_ops_converted,status
S1__6-dot-authentiqio.appspot.com-6-swagger.yaml,3.x,12,12,ok
S1__ably.io-1.1.0-openapi.yaml,3.x,22,22,ok
S1__adafruit.com-2.0.0-swagger.yaml,3.x,71,71,ok
S1__adobe.com-aem-2.5.0-pre-swagger.yaml,3.x,44,44,ok
S1__adyen.com-AccountService-5-openapi.yaml,3.x,16,16,ok
S1__adyen.com-CheckoutService-46-openapi.yaml,3.x,5,5,ok
S1__adyen.com-FundService-5-openapi.yaml,3.x,6,6,ok
S1__adyen.com-MarketPayNotificationService-5-openapi.yaml,3.x,14,14,ok
S1__adyen.com-NotificationConfigurationService-1-openapi.yaml,3.x,6,6,ok
S1__adyen.com-PaymentService-46-openapi.yaml,3.x,11,11,ok
S1__adyen.com-PayoutService-30-openapi.yaml,3.x,6,6,ok
S1__afterbanks.com-3.0.0-swagger.yaml,3.x,3,3,ok
S1__agco-ats.com-v1-swagger.yaml,3.x,191,191,ok
S1__aiception.com-1.0.0-swagger.yaml,3.x,10,10,ok
S1__akeneo.com-1.0.0-swagger.yaml,3.x,103,103,ok
S1__amazonaws.com-AWSMigrationHub-2017-05-31-swagger.yaml,3.x,16,16,ok
S1__amazonaws.com-acm-2015-12-08-swagger.yaml,3.x,13,13,ok
S1__amazonaws.com-acm-pca-2017-08-22-swagger.yaml,3.x,20,20,ok
S1__amazonaws.com-alexaforbusiness-2017-11-09-swagger.yaml,3.x,93,93,ok
S1__amazonaws.com-amplify-2017-07-25-swagger.yaml,3.x,33,33,ok
S1__amazonaws.com-apigateway-2015-07-09-swagger.yaml,3.x,120,120,ok
S1__amazonaws.com-apigatewaymanagementapi-2018-11-29-swagger.yaml,3.x,3,3,ok
S1__amazonaws.com-apigatewayv2-2018-11-29-swagger.yaml,3.x,59,59,ok
S1__amazonaws.com-application-autoscaling-2016-02-06-swagger.yaml,3.x,10,10,ok
S1__amazonaws.com-application-insights-2018-11-25-swagger.yaml,3.x,17,17,ok
S1__amazonaws.com-appmesh-2019-01-25-swagger.yaml,3.x,28,28,ok
S1__amazonaws.com-appstream-2016-12-01-swagger.yaml,3.x,47,47,ok
S1__amazonaws.com-appsync-2017-07-25-swagger.yaml,3.x,36,36,ok
S1__amazonaws.com-athena-2017-05-18-swagger.yaml,3.x,19,19,ok
S1__amazonaws.com-autoscaling-2011-01-01-swagger.yaml,3.x,108,108,ok
S1__amazonaws.com-autoscaling-plans-2018-01-06-swagger.yaml,3.x,6,6,ok
S1__amazonaws.com-backup-2018-11-15-swagger.yaml,3.x,43,43,ok
