rel,title,host,provider,version_field,spec_version,n_operations,n_admin_dropped,domain,source,converted_upstream,clean_file,domain_evidence
6-dot-authentiqio.appspot.com-6-swagger.yaml,Authentiq,6-dot-authentiqio.appspot.com,6-dot-authentiqio.appspot.com,6,3.x,12,0,UNLABELLED,S1,true,S1__6-dot-authentiqio.appspot.com-6-swagger.yaml,no_keyword_match
ably.io-1.1.0-openapi.yaml,Ably,rest.ably.io,ably.io,1.1.0,3.x,22,0,UNLABELLED,S1,true,S1__ably.io-1.1.0-openapi.yaml,no_keyword_match
adafruit.com-2.0.0-swagger.yaml,Adafruit IO,io.adafruit.com,adafruit.com,2.0.0,3.x,71,0,UNLABELLED,S1,true,S1__adafruit.com-2.0.0-swagger.yaml,no_keyword_match
adobe.com-aem-2.5.0-pre-swagger.yaml,Adobe Experience Manager (AEM),adobe.local,adobe.com,2.5.0-pre,3.x,44,0,UNLABELLED,S1,true,S1__adobe.com-aem-2.5.0-pre-swagger.yaml,no_keyword_match
adyen.com-AccountService-5-openapi.yaml,Adyen MarketPay Account Service,cal-test.adyen.com,adyen.com,5,3.x,16,0,finance,S1,true,S1__adyen.com-AccountService-5-openapi.yaml,provider_override:adyen.com
adyen.com-CheckoutService-46-openapi.yaml,Adyen Checkout Service,checkout-test.adyen.com,adyen.com,46,3.x,5,0,finance,S1,true,S1__adyen.com-CheckoutService-46-openapi.yaml,provider_override:adyen.com
adyen.com-FundService-5-openapi.yaml,Adyen MarketPay Fund Service,cal-test.adyen.com,adyen.com,5,3.x,6,0,finance,S1,true,S1__adyen.com-FundService-5-openapi.yaml,provider_override:adyen.com
adyen.com-MarketPayNotificationService-5-openapi.yaml,Adyen Notification Service,,adyen.com,5,3.x,14,0,finance,S1,true,S1__adyen.com-MarketPayNotificationService-5-openapi.yaml,provider_override:adyen.com
adyen.com-NotificationConfigurationService-1-openapi.yaml,Adyen MarketPay Notification Configuration Service,cal-test.adyen.com,adyen.com,1,3.x,6,0,finance,S1,true,S1__adyen.com-NotificationConfigurationService-1-openapi.yaml,provider_override:adyen.com
adyen.com-PaymentService-46-openapi.yaml,Adyen Payment Service,pal-test.adyen.com,adyen.com,46,3.x,11,0,finance,S1,true,S1__adyen.com-PaymentService-46-openapi.yaml,provider_override:adyen.com
