measure,q1_primary,median_primary,q3_primary,q1_sensitivity,median_sensitivity,q3_sensitivity,d_q1,d_median,d_q3,max_abs_move
operations,7.0000,16.0000,32.0000,7.0000,16.0000,35.0000,+0.0000,+0.0000,+3.0000,3.0000
mask-fire %,0.0000,38.7100,100.0000,0.0000,40.0000,100.0000,+0.0000,+1.2900,+0.0000,1.2900
f2 co-avail %,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,+0.0000,+0.0000,+0.0000,0.0000
f4 co-avail %,82.2848,100.0000,100.0000,81.6720,100.0000,100.0000,-0.6128,+0.0000,+0.0000,0.6128
f5 co-avail %,60.4400,100.0000,100.0000,59.7112,96.8310,100.0000,-0.7287,-3.1690,+0.0000,3.1690
f6 co-avail %,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,+0.0000,+0.0000,+0.0000,0.0000
description rate %,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,+0.0000,+0.0000,+0.0000,0.0000
operationId rate %,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,+0.0000,+0.0000,+0.0000,0.0000
parameters rate %,90.9091,100.0000,100.0000,90.4762,100.0000,100.0000,-0.4329,+0.0000,+0.0000,0.4329
any_schema rate %,100.0000,100.0000,100.0000,98.5427,100.0000,100.0000,-1.4573,+0.0000,+0.0000,1.4573
