clean_file,title,provider,source,spec_version,n_operations,n_pairs,a_f2_codegen,a_f2_nonempty,a_f2_derived,a_f4_parameters,a_f5_schemas,a_f6_description,c_all4_codegen,c_all4_nonempty,c_all4_derived,coavail_pct_f2_codegen,coavail_pct_f4_parameters,coavail_pct_f5_schemas,coavail_pct_f6_description,maskfire_pct_codegen,maskfire_pct_nonempty,maskfire_pct_derived
S1__6-dot-authentiqio.appspot.com-6-swagger.yaml,Authentiq,6-dot-authentiqio.appspot.com,S1,3.x,12,66,11,11,11,11,2,12,2,2,2,83.333,83.333,1.515,100.000,98.485,98.485,98.485
S1__ably.io-1.1.0-openapi.yaml,Ably,ably.io,S1,3.x,22,231,22,22,22,22,15,22,15,15,15,100.000,100.000,45.455,100.000,54.545,54.545,54.545
S1__adafruit.com-2.0.0-swagger.yaml,Adafruit IO,adafruit.com,S1,3.x,71,2485,71,71,71,68,59,21,17,17,17,100.000,91.670,68.853,8.451,94.527,94.527,94.527
S1__adobe.com-aem-2.5.0-pre-swagger.yaml,Adobe Experience Manager (AEM),adobe.com,S1,3.x,44,946,44,44,44,36,5,0,0,0,0,100.000,66.596,1.057,0.000,100.000,100.000,100.000
S1__adyen.com-AccountService-5-openapi.yaml,Adyen MarketPay Account Service,adyen.com,S1,3.x,16,120,0,0,0,0,16,16,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-CheckoutService-46-openapi.yaml,Adyen Checkout Service,adyen.com,S1,3.x,5,10,0,0,0,0,5,5,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-FundService-5-openapi.yaml,Adyen MarketPay Fund Service,adyen.com,S1,3.x,6,15,0,0,0,0,6,6,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-MarketPayNotificationService-5-openapi.yaml,Adyen Notification Service,adyen.com,S1,3.x,14,91,0,0,0,0,14,14,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-NotificationConfigurationService-1-openapi.yaml,Adyen MarketPay Notification Configuration Service,adyen.com,S1,3.x,6,15,0,0,0,0,6,6,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-PaymentService-46-openapi.yaml,Adyen Payment Service,adyen.com,S1,3.x,11,55,0,0,0,0,11,11,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__adyen.com-PayoutService-30-openapi.yaml,Adyen Payout Service,adyen.com,S1,3.x,6,15,0,0,0,0,6,6,0,0,0,0.000,0.000,100.000,100.000,100.000,100.000,100.000
S1__afterbanks.com-3.0.0-swagger.yaml,Afterbanks,afterbanks.com,S1,3.x,3,3,0,0,0,3,3,3,0,0,0,0.000,100.000,100.000,100.000,100.000,100.000,100.000
S1__agco-ats.com-v1-swagger.yaml,AGCO API,agco-ats.com,S1,3.x,191,18145,169,169,135,150,184,191,123,123,103,78.236,61.587,92.786,100.000,58.650,58.650,71.050
S1__aiception.com-1.0.0-swagger.yaml,AIception Interactive,aiception.com,S1,3.x,10,45,0,0,0,5,10,10,0,0,0,0.000,22.222,100.000,100.000,100.000,100.000,100.000
S1__akeneo.com-1.0.0-swagger.yaml,Akeneo PIM,akeneo.com,S1,3.x,103,5253,103,103,14,81,0,103,0,0,0,100.000,61.679,0.000,100.000,100.000,100.000,100.000
S1__amazonaws.com-AWSMigrationHub-2017-05-31-swagger.yaml,AWS Migration Hub,amazonaws.com,S1,3.x,16,120,16,16,0,16,16,16,16,16,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-acm-2015-12-08-swagger.yaml,AWS Certificate Manager,amazonaws.com,S1,3.x,13,78,13,13,0,13,13,13,13,13,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-acm-pca-2017-08-22-swagger.yaml,AWS Certificate Manager Private Certificate Authority,amazonaws.com,S1,3.x,20,190,20,20,0,20,20,20,20,20,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-alexaforbusiness-2017-11-09-swagger.yaml,Alexa For Business,amazonaws.com,S1,3.x,93,4278,93,93,0,93,93,93,93,93,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-amplify-2017-07-25-swagger.yaml,AWS Amplify,amazonaws.com,S1,3.x,33,528,33,33,33,33,33,33,33,33,33,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-apigateway-2015-07-09-swagger.yaml,Amazon API Gateway,amazonaws.com,S1,3.x,120,7140,120,120,120,120,120,107,107,107,107,100.000,100.000,100.000,79.426,20.574,20.574,20.574
S1__amazonaws.com-apigatewaymanagementapi-2018-11-29-swagger.yaml,AmazonApiGatewayManagementApi,amazonaws.com,S1,3.x,3,3,3,3,3,3,3,3,3,3,3,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-apigatewayv2-2018-11-29-swagger.yaml,AmazonApiGatewayV2,amazonaws.com,S1,3.x,59,1711,59,59,59,59,59,59,59,59,59,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-application-autoscaling-2016-02-06-swagger.yaml,Application Auto Scaling,amazonaws.com,S1,3.x,10,45,10,10,0,10,10,10,10,10,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-application-insights-2018-11-25-swagger.yaml,Amazon CloudWatch Application Insights,amazonaws.com,S1,3.x,17,136,17,17,0,17,17,17,17,17,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-appmesh-2019-01-25-swagger.yaml,AWS App Mesh,amazonaws.com,S1,3.x,28,378,28,28,28,28,28,28,28,28,28,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-appstream-2016-12-01-swagger.yaml,Amazon AppStream,amazonaws.com,S1,3.x,47,1081,47,47,0,47,47,47,47,47,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-appsync-2017-07-25-swagger.yaml,AWS AppSync,amazonaws.com,S1,3.x,36,630,36,36,36,36,36,36,36,36,36,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-athena-2017-05-18-swagger.yaml,Amazon Athena,amazonaws.com,S1,3.x,19,171,19,19,0,19,19,19,19,19,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-autoscaling-2011-01-01-swagger.yaml,Auto Scaling,amazonaws.com,S1,3.x,108,5778,108,108,0,108,108,108,108,108,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-autoscaling-plans-2018-01-06-swagger.yaml,AWS Auto Scaling Plans,amazonaws.com,S1,3.x,6,15,6,6,0,6,6,6,6,6,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-backup-2018-11-15-swagger.yaml,AWS Backup,amazonaws.com,S1,3.x,43,903,43,43,43,43,43,43,43,43,43,100.000,100.000,100.000,100.000,0.000,0.000,0.000
S1__amazonaws.com-batch-2016-08-10-swagger.yaml,AWS Batch,amazonaws.com,S1,3.x,16,120,16,16,0,16,16,16,16,16,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-budgets-2016-10-20-swagger.yaml,AWS Budgets,amazonaws.com,S1,3.x,14,91,14,14,0,14,14,14,14,14,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
S1__amazonaws.com-ce-2017-10-25-swagger.yaml,AWS Cost Explorer Service,amazonaws.com,S1,3.x,9,36,9,9,0,9,9,9,9,9,0,100.000,100.000,100.000,100.000,0.000,0.000,100.000
