kind,key,version,source,micro_pct,macro_pct,macro_n_services
coavail,f2_codegen,all,all,97.169,83.493,2206
coavail,f2_nonempty,all,all,98.337,84.866,2206
coavail,f2_derived,all,all,70.096,59.926,2206
coavail,f4_parameters,all,all,92.342,84.717,2206
coavail,f5_schemas,all,all,36.088,73.981,2206
coavail,f6_description,all,all,24.077,81.521,2206
maskfire,codegen,all,all,90.583,49.518,2206
maskfire,nonempty,all,all,90.169,49.211,2206
maskfire,derived,all,all,93.409,63.032,2206
coavail,f2_codegen,all,S1,88.772,84.633,1014
coavail,f2_nonempty,all,S1,89.187,85.312,1014
coavail,f2_derived,all,S1,65.006,56.306,1014
coavail,f4_parameters,all,S1,88.939,88.724,1014
coavail,f5_schemas,all,S1,73.650,75.917,1014
coavail,f6_description,all,S1,81.951,82.643,1014
maskfire,codegen,all,S1,44.187,43.819,1014
maskfire,nonempty,all,S1,44.127,43.521,1014
maskfire,derived,all,S1,61.049,63.027,1014
coavail,f2_codegen,all,S2,97.476,82.524,1192
coavail,f2_nonempty,all,S2,98.672,84.488,1192
coavail,f2_derived,all,S2,70.283,63.005,1192
coavail,f4_parameters,all,S2,92.466,81.308,1192
coavail,f5_schemas,all,S2,34.713,72.334,1192
coavail,f6_description,all,S2,21.959,80.566,1192
maskfire,codegen,all,S2,92.281,54.365,1192
maskfire,nonempty,all,S2,91.854,54.052,1192
maskfire,derived,all,S2,94.593,63.037,1192
coavail,f2_codegen,2.0,all,99.429,58.337,144
coavail,f2_nonempty,2.0,all,99.439,61.269,144
coavail,f2_derived,2.0,all,85.562,46.076,144
coavail,f4_parameters,2.0,all,99.763,86.340,144
coavail,f5_schemas,2.0,all,98.790,64.272,144
coavail,f6_description,2.0,all,2.155,71.149,144
maskfire,codegen,2.0,all,98.910,77.312,144
maskfire,nonempty,2.0,all,98.910,77.080,144
maskfire,derived,2.0,all,98.938,82.154,144
coavail,f2_codegen,2.0,S2,99.429,58.337,144
coavail,f2_nonempty,2.0,S2,99.439,61.269,144
coavail,f2_derived,2.0,S2,85.562,46.076,144
coavail,f4_parameters,2.0,S2,99.763,86.340,144
coavail,f5_schemas,2.0,S2,98.790,64.272,144
coavail,f6_description,2.0,S2,2.155,71.149,144
maskfire,codegen,2.0,S2,98.910,77.312,144
maskfire,nonempty,2.0,S2,98.910,77.080,144
maskfire,derived,2.0,S2,98.938,82.154,144
coavail,f2_codegen,3.x,all,97.029,85.250,2062
coavail,f2_nonempty,3.x,all,98.269,86.514,2062
coavail,f2_derived,3.x,all,69.139,60.893,2062
coavail,f4_parameters,3.x,all,91.882,84.604,2062
coavail,f5_schemas,3.x,all,32.207,74.659,2062
coavail,f6_description,3.x,all,25.434,82.245,2062
maskfire,codegen,3.x,all,90.068,47.577,2062
maskfire,nonempty,3.x,all,89.628,47.265,2062
maskfire,derived,3.x,all,93.067,61.697,2062
coavail,f2_codegen,3.x,S1,88.772,84.633,1014
coavail,f2_nonempty,3.x,S1,89.187,85.312,1014
coavail,f2_derived,3.x,S1,65.006,56.306,1014
coavail,f4_parameters,3.x,S1,88.939,88.724,1014
coavail,f5_schemas,3.x,S1,73.650,75.917,1014
coavail,f6_description,3.x,S1,81.951,82.643,1014
maskfire,codegen,3.x,S1,44.187,43.819,1014
maskfire,nonempty,3.x,S1,44.127,43.521,1014
maskfire,derived,3.x,S1,61.049,63.027,1014
coavail,f2_codegen,3.x,S2,97.351,85.847,1048
coavail,f2_nonempty,3.x,S2,98.623,87.678,1048
coavail,f2_derived,3.x,S2,69.300,65.331,1048
coavail,f4_parameters,3.x,S2,91.997,80.617,1048
coavail,f5_schemas,3.x,S2,30.593,73.441,1048
coavail,f6_description,3.x,S2,23.232,81.860,1048
maskfire,codegen,3.x,S2,91.855,51.212,1048
maskfire,nonempty,3.x,S2,91.400,50.888,1048
maskfire,derived,3.x,S2,94.314,60.410,1048
