f2_def,version,source,n_services,zero_count,zero_pct,matters_pct,full_count,full_pct,min,q1,median,q3,max,mean
codegen,all,all,2206,697,31.596,68.404,713,32.321,0.000,0.000,40.000,100.000,100.000,49.518
codegen,all,S1,1014,353,34.813,65.187,281,27.712,0.000,0.000,31.373,100.000,100.000,43.819
codegen,all,S2,1192,344,28.859,71.141,432,36.242,0.000,0.000,64.286,100.000,100.000,54.365
codegen,2.0,all,144,17,11.806,88.194,86,59.722,0.000,60.580,100.000,100.000,100.000,77.312
codegen,2.0,S2,144,17,11.806,88.194,86,59.722,0.000,60.580,100.000,100.000,100.000,77.312
codegen,3.x,all,2062,680,32.978,67.022,627,30.407,0.000,0.000,34.545,100.000,100.000,47.577
codegen,3.x,S1,1014,353,34.813,65.187,281,27.712,0.000,0.000,31.373,100.000,100.000,43.819
codegen,3.x,S2,1048,327,31.202,68.798,346,33.015,0.000,0.000,51.516,100.000,100.000,51.212
nonempty,all,all,2206,701,31.777,68.223,702,31.822,0.000,0.000,40.000,100.000,100.000,49.211
nonempty,all,S1,1014,356,35.108,64.892,278,27.416,0.000,0.000,31.138,100.000,100.000,43.521
nonempty,all,S2,1192,345,28.943,71.057,424,35.570,0.000,0.000,62.130,100.000,100.000,54.052
nonempty,2.0,all,144,17,11.806,88.194,85,59.028,0.000,60.580,100.000,100.000,100.000,77.080
nonempty,2.0,S2,144,17,11.806,88.194,85,59.028,0.000,60.580,100.000,100.000,100.000,77.080
nonempty,3.x,all,2062,684,33.172,66.828,617,29.922,0.000,0.000,34.327,100.000,100.000,47.265
nonempty,3.x,S1,1014,356,35.108,64.892,278,27.416,0.000,0.000,31.138,100.000,100.000,43.521
nonempty,3.x,S2,1048,328,31.298,68.702,339,32.347,0.000,0.000,51.353,100.000,100.000,50.888
derived,all,all,2206,412,18.676,81.324,909,41.206,0.000,18.182,83.333,100.000,100.000,63.032
derived,all,S1,1014,173,17.061,82.939,410,40.434,0.000,25.000,77.068,100.000,100.000,63.027
derived,all,S2,1192,239,20.050,79.950,499,41.862,0.000,13.333,90.000,100.000,100.000,63.037
derived,2.0,all,144,11,7.639,92.361,90,62.500,0.000,75.812,100.000,100.000,100.000,82.154
derived,2.0,S2,144,11,7.639,92.361,90,62.500,0.000,75.812,100.000,100.000,100.000,82.154
derived,3.x,all,2062,401,19.447,80.553,819,39.719,0.000,16.667,80.000,100.000,100.000,61.697
derived,3.x,S1,1014,173,17.061,82.939,410,40.434,0.000,25.000,77.068,100.000,100.000,63.027
derived,3.x,S2,1048,228,21.756,78.244,409,39.027,0.000,9.968,84.549,100.000,100.000,60.410
